<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
접근되고	접근/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
반면	반면/ncn
제주개에대한	제주개/ncn+에/jca+대하/pvg+ㄴ/etm
연구는	연구/ncpa+는/jxc
아직	아직/mag
초보적인	초보/ncn+적/xsn+이/jp+ㄴ/etm
단계에	단계/ncn+에/jca
머물러	머무르/pvg+어/ecx
있는	있/px+는/etm
실정이다	실정/ncn+이/jp+다/ef
.	./sf
제주개는	제주개/ncn+는/jxc
얼핏	얼핏/mag
보면	보/pvg+면/ecs
진도개와	진도개/ncn+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
모양을	모양/ncn+을/jco
하고	하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그러나	그러나/maj
꼬리가	꼬리/ncn+가/jcs
곧추	곧추/mag
서	서/pvg+어/ecx
있으며	있/px+으며/ecs
주둥이가	주둥이/ncn+가/jcs
길고	길/paa+고/ecc
이마가튀어나왔으며	이마/ncn+가/jcs+튀어나오/pvg+았/ep+으며/ecs
머리	머리/ncn
모양이	모양/ncn+이/jcs
역삼각형인	역삼각형/ncn+이/jp+ㄴ/etm
점이	점/ncn+이/jcs
진도개와	진도개/ncn+와/jct
다르다	다르/paa+다/ef
.	./sf
청각	청각/ncn
,	,/sp
후각	후각/ncn
,	,/sp
시각이	시각/ncn+이/jcs
유난히	유난/ncn+히/xsa
발달되어	발달/ncpa+되/xsv+어/ecs
사냥에	사냥/ncn+에/jca
능하고	능하/paa+고/ecs
영리하며	영리/ncps+하/xsm+며/ecs
털은	털/ncn+은/jxc
황색이다	황색/ncn+이/jp+다/ef
.	./sf
제주개의	제주개/ncn+의/jcm
유입경로에	유입/ncn+경로/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
다른	다르/paa+ㄴ/etm
개와	개/ncn+와/jct
마찬가지로	마찬가지/ncn+로/jca
정확히	정확/ncn+히/xsa
규명되지	규명/ncpa+되/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
다만	다만/mag
몽고	몽고/nq
침입시	침입/ncn+시/xsn
유입되었다는	유입/ncpa+되/xsv+었/ep+다/ef+는/etm
설과	설/ncn+과/jcj
중국의	중국/nq+의/jcm
절강성에서	절강성/nq+에서/jca
전래되었다는	전래/ncpa+되/xsv+었/ep+다/ef+는/etm
설이상존하고	설/ncn+이/jcs+상존/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그리고	그리고/maj
시기는	시기/ncn+는/jxc
대략	대략/ncn
8	8/nnc
9	9/nnc
천	천/nnc
년	년/nbu
전쯤으로	전/ncn+쯤/xsn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
이밖에도	이/npd+밖에/jxc+도/jxc
일제시대	일제시대/ncn
진도개와	진도개/ncn+와/jct
함께	함께/mag
천연기념물로	천연/ncn+기념/ncn+물/xsn+로/jca
지정된	지정/ncpa+되/xsv+ㄴ/etm
개마고원	개마고원/nq
지역의풍산개	지역/ncn+의/jcm+풍산개/ncn
(	(/sl
지금	지금/ncn
북한에서는	북한/nq+에서/jca+는/jxc
갑산개로	갑산개/ncn+로/jca
불린다	불리/pvg+ㄴ다/ef
)	)/sr
도	도/jxc
토종견의	토종견/ncn+의/jcm
가능성이	가능/ncn+성/xsn+이/jcs
많다	많/paa+다/ef
.	./sf
또한경남의	또한/maj+경남/nq+의/jcm
거제개나	거제개/ncn+나/jcj
전남의	전남/nq+의/jcm
해남개도	해남개/ncn+도/jxc
우리	우리/npp
토종견으로	토종견/ncn+으로/jca
발굴할	발굴/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
유망한	유망/ncps+하/xsm+ㄴ/etm
견종이라	견종/ncn+이/jp+라/ef
할	하/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
선인들과고락을	선인/ncn+들/xsn+과/jct+고락/ncn+을/jco
같이	같이/mag
해온	하/pvg+어/ecx+오/px+ㄴ/etm
토종개는	토종/ncn+개/ncn+는/jxc
우리	우리/npp
민족의	민족/ncn+의/jcm
고유한	고유/ncps+하/xsm+ㄴ/etm
역사와	역사/ncn+와/jcj
문화의	문화/ncn+의/jcm
한	한/nnc
부분이라고	부분/ncn+이/jp+라/ef+고/jcr
할수	하/pvg+ㄹ/etm+수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
민족	민족/ncn
고유의	고유/ncn+의/jcm
명견을	명견/ncn+을/jco
육성하는	육성/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
전통문물	전통/ncn+문물/ncn
보존	보존/ncn
차원에서도반드시	차원/ncn+에서/jca+도/jxc+반드시/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
***	*/sy+*/sy+*/sy
참고자료	참고/ncn+자료/ncn
1	1/nno
.	./sf
{	{/sl
식품사전	식품사전/nq
}	}/sr
2	2/nno
.[	./sf+[/sl
우리개	nq[우리/npp+개/ncn
삽사리를	삽사리/ncn+를/jco
아십니까	알/pvg+시/ep+ㅂ니까/ef]nq
],	]/sr+,/sp
주간	주간/ncn
{	{/sl
시사저널	시사저널/nq
}	}/sr
1991	1991/nno
.	./sf
4	4/nno
.	./sf
18	18/nno
일간	일간/ncn
3	3/nno
.{	./sf+{/sl
문화일보	문화일보/nq
}	}/sr
92	92/nno
.	./sf
10	10/nno
.	./sf
8	8/nno
4	4/nno
.	./sf
이철호	이철호/nq
,{	,/sp+{/sl
장터순례	nq[장터/ncn+순례/ncn]nq
}	}/sr
유림	유림/nq
5	5/nno
.{	./sf+{/sl
민족문화대백과	민족문화대백과/nq
}	}/sr
-	-/sd
697	697/nno
-	-/sd
60273   <       </sl
기호품	기호/ncn+품/xsn
>	>/sr
57	57/nno
.	./sf
차	차/ncn
(	(/sl
茶	茶/ncn
)	)/sr
애연가와	애연/ncn+가/xsn+와/jcj
고기를	고기/ncn+를/jco
즐기는	즐기/pvg+는/etm
사람에게	사람/ncn+에게/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
비타민의	비타민/ncn+의/jcm
보고	보고/ncn
우리	우리/npp
선조들은	선조/ncn+들/xsn+은/jxc
옛날부터	옛날/ncn+부터/jxc
하루	하루/ncn
세	세/nnc
끼밥먹듯	끼/ncn+밥/ncn+먹/pvg+듯/ecs
자주	자주/mag
행해지는	행하/pvg+어/ecx+지/px+는/etm
일을	일/ncn+을/jco
'	'/sl
다반사	다반사/ncn
(	(/sl
茶飯事	茶飯事/ncn
)'	)/sr+'/sl
라고	라고/jcr
했다	하/pvg+었/ep+다/ef
.	./sf
마치	마치/mag
차를마시는	차/ncn+를/jco+마시/pvg+는/etm
일처럼	일/ncn+처럼/jca
빈번하다는	빈번/ncps+하/xsm+다/ef+는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf
또한	또한/maj
명절	명절/ncn
때	때/ncn
조상에게	조상/ncn+에게/jca
지내는	지내/pvg+는/etm
간략한	간략/ncps+하/xsm+ㄴ/etm
제사를차례	제사/ncn+를/jco+차례/ncn
(	(/sl
茶禮	茶禮/ncn
)	)/sr
라	라/ecs
하고	하/pvg+고/ecs
,	,/sp
질서와	질서/ncn+와/jcj
예의를	예의/ncn+를/jco
지키는	지키/pvg+는/etm
뜻의	뜻/ncn+의/jcm
'	'/sl
차례	차례/ncn
'	'/sr
도	도/jxc
같은	같/paa+은/etm
말이다	말/ncn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
말하는	말/ncpa+하/xsv+는/etm
차는	차/ncn+는/jxc
우리가	우리/npp+가/jcs
보통	보통/ncn
기호품으로	기호/ncn+품/xsn+으로/jca
마시는	마시/pvg+는/etm
차	차/ncn
(	(/sl
茶	茶/ncn
)	)/sr
를	를/jco
뜻하는	뜻/ncpa+하/xsv+는/etm
말이다	말/ncn+이/jp+다/ef
.	./sf
이처럼	이/npd+처럼/jca
우리	우리/npp
민족은	민족/ncn+은/jxc
예로부터차를	예/ncn+로/jca+부터/jxc+차/ncn+를/jco
마시고	마시/pvg+고/ecs
살아왔으며	살/pvg+아/ecs+오/pvg+았/ep+으며/ecs
남부지방	남부/ncn+지방/ncn
여러	여러/mma
곳에서	곳/ncn+에서/jca
차나무가	차나무/ncn+가/jcs
재배되었다	재배/ncpa+되/xsv+었/ep+다/ef
.	./sf
그런데	그런데/maj
우리가	우리/npp+가/jcs
흔히	흔히/mag
말하는	말/ncpa+하/xsv+는/etm
'	'/sl
인삼차	인삼차/ncn
'	'/sr
'	'/sl
모과차	모과차/ncn
'	'/sr
'	'/sl
생강차	생강차/ncn
'	'/sr
니	니/ecs
하는	하/pvg+는/etm
것들은마실거리에	것/nbn+들/xsn+은/jxc+마시/pvg+ㄹ/etm+거리/xsn+에/jca
'	'/sl
차	차/ncn
'	'/sl
자를	자/ncn+를/jco
붙이는	붙이/pvg+는/etm
것으로	것/nbn+으로/jca
이는	이/npd+는/jxc
잘못이다	잘못/ncn+이/jp+다/ef
.	./sf
'	'/sl
차	차/ncn
'	'/sr
란	란/jxc
반드시	반드시/mag
차나무에서	차나무/ncn+에서/jca
딴어린	따/pvg+ㄴ/etm+어리/pvg+ㄴ/etm
잎을	잎/ncn+을/jco
가공하여	가공/ncpa+하/xsv+어/ecs
만든	만들/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
,	,/sp
커피나무	커피나무/ncn
열매를	열매/ncn+를/jco
가공하여	가공/ncpa+하/xsv+어/ecs
만든	만들/pvg+ㄴ/etm
것을	것/nbn+을/jco
'	'/sl
커피	커피/ncn
'	'/sl
라	라/ef
부르는	부르/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
이치이다	이치/ncn+이/jp+다/ef
.	./sf
그러니까	그러니까/maj
애초에	애초/ncn+에/jca
마실	마시/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
가공된	가공/ncpa+되/xsv+ㄴ/etm
'	'/sl
차	차/ncn
'	'/sr
가	가/jcs
먼저	먼저/mag
있었던	있/paa+었/ep+던/etm
게	것/nbn+이/jcc
아니고	아니/paa+고/ecs
'	'/sl
차나무	차나무/ncn
'	'/sr
가	가/jcs
먼저	먼저/mag
있었다는	있/paa+었/ep+다/ef+는/etm
말이	말/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
다방이	다방/ncn+이/jcs
생겨나면서부터	생기/pvg+어/ecx+나/px+면서/ecs+부터/jxc
일반인들에게	일반/ncn+인/xsn+들/xsn+에게/jca
차가	차/ncn+가/jcs
널리	널리/mag
보급된	보급/ncpa+되/xsv+ㄴ/etm
것도	것/nbn+도/jxc
사실이지만언제부터인가	사실/ncn+이/jp+지만/ecs+언제/npd+부터/jxc+이/jp+ㄴ가
사실이지만언제부터인가	/ef
우리차가	우리/npp+차/ncn+가/jcs
서양에서	서양/ncn+에서/jca
들어온	들어오/pvg+ㄴ/etm
커피에	커피/ncn+에/jca
밀리나게	밀리나/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
그래서	그래서/maj
아예	아예/mag
다방이	다방/ncn+이/jcs
커피숍으로	커피숍/ncn+으로/jca
바뀌고	바뀌/pvg+고/ecx
있으며	있/px+으며/ecs
흔히들	흔히/mag+들/xsn
'	'/sl
차	차/ncn
마신다	마시/pvg+ㄴ다/ef
'	'/sr
는	는/jxc
말이	말/ncn+이/jcs
'	'/sl
커피	커피/ncn
마신다	마시/pvg+ㄴ다/ef
'	'/sr
는	는/jxc
의미로	의미/ncn+로/jca
바뀌고	바뀌/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
또한	또한/maj
우리차가	우리/npp+차/ncn+가/jcs
널리	널리/mag
애용되는	애용/ncpa+되/xsv+는/etm
것을	것/nbn+을/jco
방해하는	방해/ncpa+하/xsv+는/etm
한	한/nnc
가지	가지/nbu
요인을	요인/ncn+을/jco
지적한다면	지적/ncpa+하/xsv+ㄴ다면/ecs
'	'/sl
다도	다도/ncn
(	(/sl
茶道	茶道/ncn
)'	)/sr+'/sl
라는	라/ecs+는/etm
것을	것/nbn+을/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
다도는	다도/ncn+는/jxc
일본에서	일본/nq+에서/jca
수입된	수입/ncpa+되/xsv+ㄴ/etm
예법이다	예법/ncn+이/jp+다/ef
.	./sf
차는원래	차/ncn+는/jxc+원래/mag
우리나라를	우리/npp+나라/ncn+를/jco
통해서	통하/pvg+어서/ecs
일본으로	일본/nq+으로/jca
건너간	건너/pvg+어/ecx+가/px+ㄴ/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
,	,/sp
언제부턴가	언제/npd+부터/jxc+ㄴ가/ef
거꾸로	거꾸로/mag
차	차/ncn
마시는법이	마시/pvg+는/etm+법/ncn+이/jcs
일본에서	일본/nq+에서/jca
건너오게	건너/pvg+어/ecx+오/px+게/ecx
된	되/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
우리나라	우리/npp+나라/ncn
차의	차/ncn+의/jcm
역사를	역사/ncn+를/jco
아무리	아무리/mag
뒤져봐도차를	뒤지/pvg+어/ecx+보/px+아도/ecs+차/ncn+를/jco
마시는	마시/pvg+는/etm
데	데/nbn
까다로운	까다롭/paa+ㄴ/etm
예법이	예법/ncn+이/jcs
있다는	있/paa+다/ef+는/etm
기록은	기록/ncn+은/jxc
없다	없/paa+다/ef
.	./sf
초의선사도	초의선사/nq+도/jxc
말하기를	말/ncpa+하/xsv+기/etn+를/jco
차는아무런	차/ncn+는/jxc+아무렇/pad+ㄴ/etm
격식없이	격식/ncn+없이/jca
편안한	편안/ncps+하/xsm+ㄴ/etm
마음으로	마음/ncn+으로/jca
마시면	마시/pvg+면/ecs
된다고	되/pvg+ㄴ다/ef+고/jcr
했다	하/pvg+었/ep+다/ef
.	./sf
다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
숭늉	숭늉/ncn
마시듯이편하게	마시/pvg+듯이/ecs+편하/paa+게/ecs
마시면	마시/pvg+면/ecs
된다는	되/pvg+ㄴ다/ef+는/etm
말이다	말/ncn+이/jp+다/ef
.	./sf
{	{/sl
삼국사기	삼국사기/nq
}	}/sr
에	에/jca
의하면	의하/pvg+면/ecs
차는	차/ncn+는/jxc
신라	신라/nq
흥덕왕	흥덕왕/nq
3	3/nnc
년	년/nbu
(	(/sl
828	828/nno
년	년/nbu
)	)/sr
에	에/jca
당나라에	당나라/nq+에/jca
사신으로	사신/ncn+으로/jca
갔던김대렴이	가/pvg+았/ep+던/etm+김대렴/nq+이/jcs
귀국하는	귀국/ncpa+하/xsv+는/etm
길에	길/ncn+에/jca
차나무의	차나무/ncn+의/jcm
종자를	종자/ncn+를/jco
얻어왔다는	얻/pvg+어/ecx+오/px+았/ep+다/ef+는/etm
기록이	기록/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이	이/mmd
차나무종자를	차나무/ncn+종자/ncn+를/jco
지금의	지금/ncn+의/jcm
지리산	지리산/nq
기슭에	기슭/ncn+에/jca
심어	심/pvg+어/ecs
번식시켰다고	번식/ncpa+시키/xsv+었/ep+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
설화에	설화/ncn+에/jca
의하면수로왕의	의하/pvg+면/ecs+수로왕/nq+의/jcm
7	7/nnc
왕자가	왕자/ncn+가/jcs
외숙인	외숙/ncn+이/jp+ㄴ/etm
보옥선사를	보옥선사/nq+를/jco
따라	따르/pvg+아/ecs
화개의	화개/ncn+의/jcm
운상원에서	운상원/ncn+에서/jca
수도할	수도/ncpa+하/xsv+ㄹ/etm
때	때/ncn
심은	심/pvg+ㄴ/etm
차의유종이	차/ncn+의/jcm+유종/ncn+이/jcs
지금까지	지금/ncn+까지/jxc
전해	전하/pvg+어/ecs
내려온다고	내리/pvg+어/ecx+오/px+ㄴ다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
차를	차/ncn+를/jco
마시는	마시/pvg+는/etm
습속은	습속/ncn+은/jxc
신라	신라/nq
27	27/nnc
대선덕여왕	대/nbu+선덕여왕/nq
때부터	때/ncn+부터/jxc
있었다고	있/paa+었/ep+다/ef+고/jcr
하니	하/pvg+니/ecs
우리	우리/npp
고유의	고유/ncn+의/jcm
재래종	재래종/ncn
차나무가	차나무/ncn+가/jcs
이	이/mmd
땅에자생하였음을	땅/ncn+에/jca+자생/ncpa+하/xsv+였/ep+음/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
즉	즉/maj
김대겸이	김대겸/nq+이/jcs
차의	차/ncn+의/jcm
신품종을	신/xp+품종/ncn+을/jco
당나라에서	당나라/nq+에서/jca
가져와	가지/pvg+어/ecx+오/px+아/ecs
지리산산록에	지리산/nq+산록/ncn+에/jca
심어서	심/pvg+어서/ecs
이후	이후/ncn
더욱	더욱/mag
성하게	성하/paa+게/ecx
되었을	되/px+었/ep+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
이처럼	이/npd+처럼/jca
지리산	지리산/nq
일대에서	일대/ncn+에서/jca
자란	자라/pvg+ㄴ/etm
차나무	차나무/ncn
잎으로	잎/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
차를	차/ncn+를/jco
죽로차	죽로차/ncn
(	(/sl
竹露茶	竹露茶/ncn
)	)/sr
라고도	라고/ecs+도/jxc
하는데	하/pvg+는데/ecs
이것은	이것/npd+은/jxc
대나무	대나무/ncn
숲속에서	숲속/ncn+에서/jca
이슬을받아먹고	이슬/ncn+을/jco+받/pvg+아/ecs+먹/pvg+고/ecs
자란	자라/pvg+ㄴ/etm
차라는	차/ncn+라는/jxc
뜻에서	뜻/ncn+에서/jca
이름	이름/ncn
붙여진	붙이/pvg+어/ecx+지/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
고려	고려/nq
때에는	때/ncn+에/jca+는/jxc
나라에	나라/ncn+에/jca
공로를	공로/ncn+를/jco
세운	세우/pvg+ㄴ/etm
장군이나	장군/ncn+이나/jcj
재상이	재상/ncn+이/jcs
세상을	세상/ncn+을/jco
떠나면	떠나/pvg+면/ecs
임금은이를	임금/ncn+은/jxc+이/npd+를/jco
애도하는	애도/ncpa+하/xsv+는/etm
뜻에서	뜻/ncn+에서/jca
차를	차/ncn+를/jco
하사했다는	하사/ncpa+하/xsv+었/ep+다/ef+는/etm
기록도	기록/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
당시에는	당시/ncn+에/jca+는/jxc
차가	차/ncn+가/jcs
아주	아주/mag
귀한물건으로	귀하/paa+ㄴ/etm+물건/ncn+으로/jca
취급되었다는	취급/ncpa+되/xsv+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
조선시대에	조선/nq+시대/ncn+에/jca
와서는	오/pvg+아서/ecs+는/jxc
차를	차/ncn+를/jco
엽전처럼	엽전/ncn+처럼/jca
줄에꿰어두고	줄/ncn+에/jca+꿰/pvg+어/ecx+두/px+고/ecs
몸살이나	몸살/ncn+이나/jcj
감기에	감기/ncn+에/jca
걸리면	걸리/pvg+면/ecs
이것을	이것/npd+을/jco
물에	물/ncn+에/jca
달여서	달이/pvg+어서/ecs
마셨다는	마시/pvg+었/ep+다/ef+는/etm
기록도	기록/ncn+도/jxc
보인다	보이/pvg+ㄴ다/ef
.	./sf
이것을	이것/npd+을/jco
청태전	청태전/nq
(	(/sl
靑台錢	靑台錢/nq
),	)/sr+,/sp
또는	또/maj+는/jxc
전다	전다/ncn
(	(/sl
錢茶	錢茶/nq
)	)/sr
라고	라고/jcr
불렀다고	부르/pvg+었/ep+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
불교가왕성했던	불교/ncn+가/jcs+왕성/ncps+하/xsm+었/ep+던/etm
시기는	시기/ncn+는/jxc
대체로	대체로/mag
차가	차/ncn+가/jcs
생활에서	생활/ncn+에서/jca
큰	크/paa+ㄴ/etm
몫을	몫/ncn+을/jco
차지했던	차지/ncpa+하/xsv+었/ep+던/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
불교에대한	불교/ncn+에/jca+대하/pvg+ㄴ/etm
박해가	박해/ncn+가/jcs
심해지면서	심하/paa+어/ecx+지/px+면서/ecs
차는	차/ncn+는/jxc
산간의	산간/ncn+의/jcm
선방	선방/ncn
(	(/sl
禪房	禪房/ncn
)	)/sr
에서나	에서/jca+나/jxc
겨우	겨우/mag
그	그/mmd
명맥을	명맥/ncn+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
정도로	정도/ncn+로/jca
줄어들었지만	줄/pvg+어/ecx+들/px+었/ep+지만/ecs
차가	차/ncn+가/jcs
오늘날까지현대인의	오늘날/ncn+까지/jxc+현대/ncn+인/xsn+의/jcm
기호품으로	기호/ncn+품/xsn+으로/jca
사랑받고	사랑/ncpa+받/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것은	것/nbn+은/jxc
주지의	주지/ncn+의/jcm
사실이다	사실/ncn+이/jp+다/ef
.	./sf
차나무는	차나무/ncn+는/jxc
동백과에	동백/ncn+과/ncn+에/jca
속하는	속하/pvg+는/etm
다년생	다년생/ncn
상록수로	상록수/ncn+로/jca
자연상태에서는	자연/ncps+상태/ncn+에서/jca+는/jxc
10	10/nnc
여	여/xsn
미터정도까지	미터/nbu+정도/ncn+까지/jxc
자라지만	자라/pvg+지만/ecs
보통	보통/ncn
재배할	재배/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
알맞은	알맞/paa+은/etm
높이로	높이/ncn+로/jca
잘라서	자르/pvg+아서/ecs
가꾼다	가꾸/pvg+ㄴ다/ef
.	./sf
습기가많고	습기/ncn+가/jcs+많/paa+고/ecc
무덥지만	무덥/paa+지만/ecs
시원스런	시원/ncps+스럽/xsm+ㄴ/etm
바람이	바람/ncn+이/jcs
계속	계속/mag
불어와	불/pvg+어/ecx+오/px+아/ecs
무더위를	무더위/ncn+를/jco
씻어주는	씻/pvg+어/ecx+주/px+는/etm
곳이나	곳/ncn+이나/jcj
아침에햇볕이	아침/ncn+에/jca+햇볕/ncn+이/jcs
잘	잘/mag
들고	들/pvg+고/ecs
낮에는	낮/ncn+에/jca+는/jxc
그림자가	그림자/ncn+가/jcs
지는	지/pvg+는/etm
계곡을	계곡/ncn+을/jco
낀	끼/pvg+ㄴ/etm
산비탈에서	산/ncn+비탈/ncn+에서/jca
잘	잘/mag
자란다	자라/pvg+ㄴ다/ef
.	./sf
참고로	참고/ncn+로/jca
차의	차/ncn+의/jcm
재배적지는	재배/ncn+적지/ncn+는/jxc
,	,/sp
연간	연/ncn+간/xsn
강우량	강우/ncn+량/xsn
1	1/nnc
,	,/sp
500	500/nnc
2	2/nnc
,	,/sp
000	000/nnc
mm	mm/su
정도에	정도/ncn+에/jca
토양은약산성	토양/ncn+은/jxc+약산성/ncn
(	(/sl
PHC	PHC/f
)	)/sr
이고	이/jp+고/ecs
연평균	연/ncn+평균/ncn
12	12/nnc
정도의	정도/ncn+의/jcm
해발	해발/ncn
200	200/nnc
m	m/su
이하인	이하/ncn+이/jp+ㄴ/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
일반적으로	일반/ncn+적/xsn+으로/jca
차를	차/ncn+를/jco
따는	따/pvg+는/etm
시기는	시기/ncn+는/jxc
곡우	곡우/ncn
(	(/sl
穀雨	穀雨/ncn
)	)/sr
를	를/jco
전후한	전후/ncpa+하/xsv+ㄴ/etm
4	4/nno
월	월/nbu
20	20/nno
일경이다	일/nbu+경/ncn+이/jp+다/ef
.	./sf
그런데	그런데/maj
한	한/nnc
가지	가지/nbu
재미있는	재미/ncps+있/xsm+는/etm
사실은	사실/ncn+은/jxc
,	,/sp
다른나무는	다르/paa+ㄴ/etm+나무/ncn+는/jxc
꽃이	꽃/ncn+이/jcs
져야	지/pvg+어야/ecs
열매를	열매/ncn+를/jco
맺는	맺/pvg+는/etm
반면	반면/ncn
차나무는	차나무/ncn+는/jxc
열매가	열매/ncn+가/jcs
영그는	영글/pvg+는/etm
철에	철/ncn+에/jca
꽃이	꽃/ncn+이/jcs
핀다	피/pvg+ㄴ다/ef
.	./sf
그래서	그래서/maj
차나무를	차나무/ncn+를/jco
일컬어	일컫/pvg+어/ecs
실화상봉수	실화상봉수/ncn
(	(/sl
實花相逢樹	實花相逢樹/ncn
)	)/sr
라	라/ef
한다	하/pvg+ㄴ다/ef
.	./sf
즉	즉/maj
,	,/sp
꽃과열매가	꽃/ncn+과/jcj+열매/ncn+가/jcs
마주	마주/mag
본다는	보/pvg+ㄴ다/ef+는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf
남쪽지방	남쪽/ncn+지방/ncn
차밭에는	차/ncn+밭/ncn+에/jca+는/jxc
해마다	해/ncn+마다/jxc
늦가을이면	늦가을/ncn+이/jp+면/ecs
찬서리속에서	찬서리/ncn+속/ncn+에서/jca
영롱하게	영롱/ncps+하/xsm+게/ecs
맺혀	맺히/pvg+어/ecx
있는	있/px+는/etm
차꽃을	차꽃/ncn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
차꽃은	차꽃/ncn+은/jxc
하얀색으로	하얀색/ncn+으로/jca
무궁화처럼	무궁화/ncn+처럼/jca
다섯쪽이다	다섯/nnc+쪽/nbu+이/jp+다/ef
.	./sf
이	이/mmd
다섯	다섯/nnc
쪽은	쪽/nbu+은/jxc
각각	각각/mma
차가	차/ncn+가/jcs
지닌	지니/pvg+ㄴ/etm
다섯	다섯/nnc
가지	가지/nbu
맛을	맛/ncn+을/jco
상징한다	상징/ncpa+하/xsv+ㄴ다/ef
.	./sf
또한	또한/maj
차꽃의흰색은	차꽃/ncn+의/jcm+흰색/ncn+은/jxc
군자에게는	군자/ncn+에게/jca+는/jxc
지조를	지조/ncn+를/jco
,	,/sp
여자에게는	여자/ncn+에게/jca+는/jxc
정절을	정절/ncn+을/jco
상징한다	상징/ncpa+하/xsv+ㄴ다/ef
.	./sf
차는	차/ncn+는/jxc
잎을	잎/ncn+을/jco
따는	따/pvg+는/etm
시기에	시기/ncn+에/jca
따라서	따르/pvg+아서/ecs
봄차	봄/ncn+차/ncn
,	,/sp
여름차	여름/ncn+차/ncn
,	,/sp
가을차로	가을/ncn+차/ncn+로/jca
나누고	나누/pvg+고/ecs
각	각/mma
계절마다첫물	계절/ncn+마다/jxc+첫물/ncn
,	,/sp
두물	두물/ncn
,	,/sp
세물	세물/ncn
,	,/sp
만물차로	만물차/ncn+로/jca
부르기도	부르/pvg+기/etn+도/jxc
-	-/sd
704	704/nno
-	-/sd
한다	하/pvg+ㄴ다/ef
.	./sf
또	또/maj
제품의	제품/ncn+의/jcm
형태에	형태/ncn+에/jca
따라서	따르/pvg+아서/ecs
잎차	잎차/ncn
,	,/sp
고형차	고형차/ncn
,	,/sp
가루차로	가루차/ncn+로/jca
나누기도	나누/pvg+기/etn+도/jxc
하고	하/pvg+고/ecs
만드는	만들/pvg+는/etm
